    PID TTY          TIME CMD
  46021 pts/308  00:00:00 srun
  46022 pts/308  00:00:00 srun
  96242 ?        00:00:00 git
 197090 ?        00:00:15 node
 197092 ?        00:00:09 node
 198095 ?        00:00:00 git
 198903 ?        00:00:00 git
 199198 ?        00:00:00 git
 199769 ?        00:00:00 git
 203049 ?        00:00:00 rsync
 224230 ?        00:00:00 git <defunct>
 227789 pts/359  00:00:00 git
 227838 pts/359  00:00:00 git
 227839 pts/359  00:00:00 git
 407295 ?        00:00:00 rsync
 428459 ?        00:00:00 git
 445242 pts/389  00:00:00 ssh
 460759 ?        00:00:00 rsync
 461969 pts/332  00:00:00 bash
 567189 ?        00:00:00 sleep
 580166 pts/7    00:00:00 bash
 583646 pts/7    00:00:00 ps
 631320 ?        00:00:00 git
 659228 ?        00:00:00 git
 671474 ?        00:00:00 git
 674154 ?        00:00:00 git
 690333 ?        00:00:00 git
 700540 ?        00:00:01 python3.10
 705988 ?        00:00:00 rsync
 735981 ?        00:00:00 rsync
 739184 ?        00:00:00 rsync
 751320 ?        00:00:00 rsync
 752627 ?        00:00:00 rsync
 773005 ?        00:00:00 rsync
 798205 ?        00:00:01 python3.10
 825210 ?        00:00:00 python
 832569 ?        00:00:00 git
 847255 ?        00:00:00 git <defunct>
 875364 ?        00:00:00 node <defunct>
 876911 ?        00:00:00 git <defunct>
 876919 ?        00:00:19 node <defunct>
 876929 ?        00:00:00 git
 877736 pts/270  00:00:00 bash
 880041 ?        00:00:00 python3.10
 882588 pts/270  00:00:00 git <defunct>
 898814 ?        00:00:00 node <defunct>
 900065 ?        00:00:00 git <defunct>
 900075 ?        00:00:08 node <defunct>
 911347 ?        00:00:09 systemd
 911364 ?        00:00:00 (sd-pam)
 911453 ?        00:00:08 sshd
 914620 ?        00:00:00 node <defunct>
 915106 ?        00:00:00 git
 915125 ?        00:00:15 node
 973967 pts/318  00:00:00 bash
 990788 ?        00:00:00 git <defunct>
1000494 ?        00:00:00 python3.10
1005925 pts/318  00:00:00 ssh
1021016 ?        00:00:00 python
1201305 ?        00:00:39 node <defunct>
1202986 ?        00:00:35 node <defunct>
1351974 ?        00:00:00 sh
1351978 ?        00:00:33 node
1352065 ?        00:00:00 node
1352959 ?        00:00:45 node
1352970 ?        00:00:18 node
1353170 ?        00:00:00 git <defunct>
1364062 ?        00:00:00 git <defunct>
1364074 ?        00:00:00 git
1378985 pts/64   00:00:00 bash
1430500 ?        00:00:00 python
1654468 ?        00:00:00 bash
1655085 ?        00:00:00 sh
1655113 ?        00:00:12 code-e8653663e8
1929470 ?        00:00:00 git
2549802 ?        00:00:01 python3.10
3642537 pts/30   00:00:00 bash
3668782 ?        00:00:17 node
3668949 ?        00:00:00 node
3669030 ?        00:00:00 node
3669430 ?        00:00:00 git
3695024 ?        00:00:01 pet
3695240 ?        00:00:01 pet
3695588 pts/16   00:00:00 bash
3695593 pts/134  00:00:00 bash
3696383 pts/136  00:00:00 bash
3696524 ?        00:00:00 python3.10
3696542 ?        00:00:00 python3.10
3696564 ?        00:00:30 node
3696574 ?        00:00:56 node
3696591 pts/143  00:00:00 bash
3696870 pts/178  00:00:00 bash
3697196 ?        00:00:15 python3.10
3719969 ?        00:00:01 python3.10
3726650 ?        00:00:00 python3.10
3816975 ?        00:00:01 python3.10
3818161 pts/224  00:00:00 bash
3822456 pts/224  00:00:00 python
3903864 ?        00:00:01 python3.10
4108660 ?        00:00:00 python3.10 <defunct>
4108661 ?        00:00:00 python3.10 <defunct>
4108859 pts/302  00:00:00 bash
4109040 pts/302  00:00:00 python3.10
4114342 pts/306  00:00:00 bash
4115135 pts/308  00:00:00 bash
4117206 pts/308  00:00:00 salloc
4119319 pts/359  00:00:00 bash
4121397 pts/389  00:00:00 bash
